modelo,capacidaad1,capacidad,limite_max,precio,
INVERSOR GROWATT MIC 2000TL-x2,2,.00,2.20,235.89
INVERSOR GROWATT MIC 2500TL-x2,2.5,2.21,2.75,270.44
INVERSOR GROWATT MIC 3000TL-x2,3,2.76,3.30,290.81
INVERSOR GROWATT MIN 3600TL-x2,3.6,3.31,3.96,321.07
INVERSOR GROWATT MIN 4200TL-x2,4.2,3.97,4.60,348.17
INVERSOR GROWATT MIN 4.6K TL-X2,4.6,4.61,4.99,369.00
INVERSOR GROWATT MIN 5000TL-x2,5,5.00,5.50,398.00
INVERSOR GROWATT MIN 6000TL-x2,6,5.51,6.60,475.00
INVERSOR GROWATT MIN 8000TL-x2,8,6.61,8.80,690.30
INVERSOR GROWATT MIN 9K TL-X2,9,8.81,9.90,730.00
INVERSOR GROWATT MIN 10000TL-X2,10,9.91,11.00,767.00
